kode,uraian,penjelasan,konteks,keywords,domain,activity,level,embedding_text
500.6.16,pengembangan usaha dan investasi,Klasifikasi terkait pengembangan usaha dan investasi.,Digunakan untuk dokumen mengenai pengembangan usaha dan investasi.,"pengembangan, usaha, dan, investasi",umum,umum,tersier,500.6.16 pengembangan usaha dan investasi klasifikasi terkait pengembangan usaha dan investasi. digunakan untuk dokumen mengenai pengembangan usaha dan investasi. pengembangan usaha dan investasi umum umum
500.6.16.1,kemitraan dan kewirausahaan,Klasifikasi terkait kemitraan dan kewirausahaan.,Digunakan untuk dokumen mengenai kemitraan dan kewirausahaan.,"kemitraan, dan, kewirausahaan",umum,umum,kuartier,500.6.16.1 kemitraan dan kewirausahaan klasifikasi terkait kemitraan dan kewirausahaan. digunakan untuk dokumen mengenai kemitraan dan kewirausahaan. kemitraan dan kewirausahaan umum umum
500.6.16.2,investasi,Klasifikasi terkait investasi.,Digunakan untuk dokumen mengenai investasi.,investasi,umum,umum,kuartier,500.6.16.2 investasi klasifikasi terkait investasi. digunakan untuk dokumen mengenai investasi. investasi umum umum
500.6.16.3,promosi dalam negeri,Klasifikasi terkait promosi dalam negeri.,Digunakan untuk dokumen mengenai promosi dalam negeri.,"promosi, dalam, negeri",umum,umum,kuartier,500.6.16.3 promosi dalam negeri klasifikasi terkait promosi dalam negeri. digunakan untuk dokumen mengenai promosi dalam negeri. promosi dalam negeri umum umum
500.6.16.4,promosi luar negeri,Klasifikasi terkait promosi luar negeri.,Digunakan untuk dokumen mengenai promosi luar negeri.,"promosi, luar, negeri",umum,umum,kuartier,500.6.16.4 promosi luar negeri klasifikasi terkait promosi luar negeri. digunakan untuk dokumen mengenai promosi luar negeri. promosi luar negeri umum umum
500.6.17,pemasaran domestik,Klasifikasi terkait pemasaran domestik.,Digunakan untuk dokumen mengenai pemasaran domestik.,"pemasaran, domestik",umum,umum,tersier,500.6.17 pemasaran domestik klasifikasi terkait pemasaran domestik. digunakan untuk dokumen mengenai pemasaran domestik. pemasaran domestik umum umum
500.6.17.1,informasi pasar,Klasifikasi terkait informasi pasar.,Digunakan untuk dokumen mengenai informasi pasar.,"informasi, pasar",umum,umum,kuartier,500.6.17.1 informasi pasar klasifikasi terkait informasi pasar. digunakan untuk dokumen mengenai informasi pasar. informasi pasar umum umum
500.6.17.2,pemantauan pasar dan stabilisasi harga,Klasifikasi terkait pemantauan pasar dan stabilisasi harga.,Digunakan untuk dokumen mengenai pemantauan pasar dan stabilisasi harga.,"pemantauan, pasar, dan, stabilisasi, harga",umum,umum,kuartier,500.6.17.2 pemantauan pasar dan stabilisasi harga klasifikasi terkait pemantauan pasar dan stabilisasi harga. digunakan untuk dokumen mengenai pemantauan pasar dan stabilisasi harga. pemantauan pasar dan stabilisasi harga umum umum
500.6.17.3,sarana dan kelembagaan pasar,Klasifikasi terkait sarana dan kelembagaan pasar.,Digunakan untuk dokumen mengenai sarana dan kelembagaan pasar.,"sarana, dan, kelembagaan, pasar",umum,umum,kuartier,500.6.17.3 sarana dan kelembagaan pasar klasifikasi terkait sarana dan kelembagaan pasar. digunakan untuk dokumen mengenai sarana dan kelembagaan pasar. sarana dan kelembagaan pasar umum umum
500.6.17.4,jaringan pemasaran,Klasifikasi terkait jaringan pemasaran.,Digunakan untuk dokumen mengenai jaringan pemasaran.,"jaringan, pemasaran",ti,umum,kuartier,500.6.17.4 jaringan pemasaran klasifikasi terkait jaringan pemasaran. digunakan untuk dokumen mengenai jaringan pemasaran. jaringan pemasaran ti umum
500.6.18,administrasi penelitian pengkajian dan pengembangan antara lain  rencana kerja tor proposal pembentukan tim kerja dan surat menyurat,Klasifikasi terkait administrasi penelitian pengkajian dan pengembangan antara lain  rencana kerja tor proposal pembentukan tim kerja dan surat menyurat.,Digunakan untuk dokumen mengenai administrasi penelitian pengkajian dan pengembangan antara lain  rencana kerja tor proposal pembentukan tim kerja dan surat menyurat.,"administrasi, penelitian, pengkajian, dan, pengembangan, antara, lain, rencana, kerja, tor",umum,umum,tersier,500.6.18 administrasi penelitian pengkajian dan pengembangan antara lain rencana kerja tor proposal pembentukan tim kerja dan surat menyurat klasifikasi terkait administrasi penelitian pengkajian dan pengembangan antara lain rencana kerja tor proposal pembentukan tim kerja dan surat menyurat. digunakan untuk dokumen mengenai administrasi penelitian pengkajian dan pengembangan antara lain rencana kerja tor proposal pembentukan tim kerja dan surat menyurat. administrasi penelitian pengkajian dan pengembangan antara lain rencana kerja tor umum umum
500.6.19,hasil penelitian pengkajian dan pengembangan,Klasifikasi terkait hasil penelitian pengkajian dan pengembangan.,Digunakan untuk dokumen mengenai hasil penelitian pengkajian dan pengembangan.,"hasil, penelitian, pengkajian, dan, pengembangan",umum,umum,tersier,500.6.19 hasil penelitian pengkajian dan pengembangan klasifikasi terkait hasil penelitian pengkajian dan pengembangan. digunakan untuk dokumen mengenai hasil penelitian pengkajian dan pengembangan. hasil penelitian pengkajian dan pengembangan umum umum
500.6.19.1,hasil penelitian dan pengembangan,Klasifikasi terkait hasil penelitian dan pengembangan.,Digunakan untuk dokumen mengenai hasil penelitian dan pengembangan.,"hasil, penelitian, dan, pengembangan",umum,umum,kuartier,500.6.19.1 hasil penelitian dan pengembangan klasifikasi terkait hasil penelitian dan pengembangan. digunakan untuk dokumen mengenai hasil penelitian dan pengembangan. hasil penelitian dan pengembangan umum umum
500.6.19.2,hasil pengkajian dan kebijakan dan strategi,Klasifikasi terkait hasil pengkajian dan kebijakan dan strategi.,Digunakan untuk dokumen mengenai hasil pengkajian dan kebijakan dan strategi.,"hasil, pengkajian, dan, kebijakan, strategi",umum,umum,kuartier,500.6.19.2 hasil pengkajian dan kebijakan dan strategi klasifikasi terkait hasil pengkajian dan kebijakan dan strategi. digunakan untuk dokumen mengenai hasil pengkajian dan kebijakan dan strategi. hasil pengkajian dan kebijakan strategi umum umum
500.6.20,diseminasi,Klasifikasi terkait diseminasi.,Digunakan untuk dokumen mengenai diseminasi.,diseminasi,umum,umum,tersier,500.6.20 diseminasi klasifikasi terkait diseminasi. digunakan untuk dokumen mengenai diseminasi. diseminasi umum umum
500.6.21,publikasi hasil penelitian pengkajian,Klasifikasi terkait publikasi hasil penelitian pengkajian.,Digunakan untuk dokumen mengenai publikasi hasil penelitian pengkajian.,"publikasi, hasil, penelitian, pengkajian",umum,umum,tersier,500.6.21 publikasi hasil penelitian pengkajian klasifikasi terkait publikasi hasil penelitian pengkajian. digunakan untuk dokumen mengenai publikasi hasil penelitian pengkajian. publikasi hasil penelitian pengkajian umum umum
500.6.21.1,pameran temu lapang temu bisnis demlot seminar lokakarya temu karya workshop,Klasifikasi terkait pameran temu lapang temu bisnis demlot seminar lokakarya temu karya workshop.,Digunakan untuk dokumen mengenai pameran temu lapang temu bisnis demlot seminar lokakarya temu karya workshop.,"pameran, temu, lapang, bisnis, demlot, seminar, lokakarya, karya, workshop",umum,umum,kuartier,500.6.21.1 pameran temu lapang temu bisnis demlot seminar lokakarya temu karya workshop klasifikasi terkait pameran temu lapang temu bisnis demlot seminar lokakarya temu karya workshop. digunakan untuk dokumen mengenai pameran temu lapang temu bisnis demlot seminar lokakarya temu karya workshop. pameran temu lapang bisnis demlot seminar lokakarya karya workshop umum umum
500.6.21.2,jurnal buletin monograf prosiding dan publikasi lainnya,Klasifikasi terkait jurnal buletin monograf prosiding dan publikasi lainnya.,Digunakan untuk dokumen mengenai jurnal buletin monograf prosiding dan publikasi lainnya.,"jurnal, buletin, monograf, prosiding, dan, publikasi, lainnya",umum,umum,kuartier,500.6.21.2 jurnal buletin monograf prosiding dan publikasi lainnya klasifikasi terkait jurnal buletin monograf prosiding dan publikasi lainnya. digunakan untuk dokumen mengenai jurnal buletin monograf prosiding dan publikasi lainnya. jurnal buletin monograf prosiding dan publikasi lainnya umum umum
500.6.22,bimbingan teknis penelitian pengkajian dan pengembangan,Klasifikasi terkait bimbingan teknis penelitian pengkajian dan pengembangan.,Digunakan untuk dokumen mengenai bimbingan teknis penelitian pengkajian dan pengembangan.,"bimbingan, teknis, penelitian, pengkajian, dan, pengembangan",umum,umum,tersier,500.6.22 bimbingan teknis penelitian pengkajian dan pengembangan klasifikasi terkait bimbingan teknis penelitian pengkajian dan pengembangan. digunakan untuk dokumen mengenai bimbingan teknis penelitian pengkajian dan pengembangan. bimbingan teknis penelitian pengkajian dan pengembangan umum umum
500.6.23,forum komunikasi penelitian dan pengembangan,Klasifikasi terkait forum komunikasi penelitian dan pengembangan.,Digunakan untuk dokumen mengenai forum komunikasi penelitian dan pengembangan.,"forum, komunikasi, penelitian, dan, pengembangan",umum,umum,tersier,500.6.23 forum komunikasi penelitian dan pengembangan klasifikasi terkait forum komunikasi penelitian dan pengembangan. digunakan untuk dokumen mengenai forum komunikasi penelitian dan pengembangan. forum komunikasi penelitian dan pengembangan umum umum
500.6.24,data penelitian dan pengembangan,Klasifikasi terkait data penelitian dan pengembangan.,Digunakan untuk dokumen mengenai data penelitian dan pengembangan.,"data, penelitian, dan, pengembangan",umum,umum,tersier,500.6.24 data penelitian dan pengembangan klasifikasi terkait data penelitian dan pengembangan. digunakan untuk dokumen mengenai data penelitian dan pengembangan. data penelitian dan pengembangan umum umum
500.6.25,evaluasi penelitian pengkajian dan pengembangan,Klasifikasi terkait evaluasi penelitian pengkajian dan pengembangan.,Digunakan untuk dokumen mengenai evaluasi penelitian pengkajian dan pengembangan.,"evaluasi, penelitian, pengkajian, dan, pengembangan",umum,umum,tersier,500.6.25 evaluasi penelitian pengkajian dan pengembangan klasifikasi terkait evaluasi penelitian pengkajian dan pengembangan. digunakan untuk dokumen mengenai evaluasi penelitian pengkajian dan pengembangan. evaluasi penelitian pengkajian dan pengembangan umum umum
500.6.26,hak atas kekayaan intelektual haki,Klasifikasi terkait hak atas kekayaan intelektual haki.,Digunakan untuk dokumen mengenai hak atas kekayaan intelektual haki.,"hak, atas, kekayaan, intelektual, haki",umum,umum,tersier,500.6.26 hak atas kekayaan intelektual haki klasifikasi terkait hak atas kekayaan intelektual haki. digunakan untuk dokumen mengenai hak atas kekayaan intelektual haki. hak atas kekayaan intelektual haki umum umum
500.6.26.1,hak cipta,Klasifikasi terkait hak cipta.,Digunakan untuk dokumen mengenai hak cipta.,"hak, cipta",umum,umum,kuartier,500.6.26.1 hak cipta klasifikasi terkait hak cipta. digunakan untuk dokumen mengenai hak cipta. hak cipta umum umum
500.6.26.2,hak paten sederhana,Klasifikasi terkait hak paten sederhana.,Digunakan untuk dokumen mengenai hak paten sederhana.,"hak, paten, sederhana",umum,umum,kuartier,500.6.26.2 hak paten sederhana klasifikasi terkait hak paten sederhana. digunakan untuk dokumen mengenai hak paten sederhana. hak paten sederhana umum umum
500.6.26.3,hak paten biasa,Klasifikasi terkait hak paten biasa.,Digunakan untuk dokumen mengenai hak paten biasa.,"hak, paten, biasa",umum,umum,kuartier,500.6.26.3 hak paten biasa klasifikasi terkait hak paten biasa. digunakan untuk dokumen mengenai hak paten biasa. hak paten biasa umum umum
500.6.26.4,hak merek,Klasifikasi terkait hak merek.,Digunakan untuk dokumen mengenai hak merek.,"hak, merek",umum,umum,kuartier,500.6.26.4 hak merek klasifikasi terkait hak merek. digunakan untuk dokumen mengenai hak merek. hak merek umum umum
500.6.26.5,pendaftaran varietas tanaman,Klasifikasi terkait pendaftaran varietas tanaman.,Digunakan untuk dokumen mengenai pendaftaran varietas tanaman.,"pendaftaran, varietas, tanaman",umum,umum,kuartier,500.6.26.5 pendaftaran varietas tanaman klasifikasi terkait pendaftaran varietas tanaman. digunakan untuk dokumen mengenai pendaftaran varietas tanaman. pendaftaran varietas tanaman umum umum
500.6.26.6,permohonan hak pvtt tanaman semusim dan tahunan,Klasifikasi terkait permohonan hak pvtt tanaman semusim dan tahunan.,Digunakan untuk dokumen mengenai permohonan hak pvtt tanaman semusim dan tahunan.,"permohonan, hak, pvtt, tanaman, semusim, dan, tahunan",umum,umum,kuartier,500.6.26.6 permohonan hak pvtt tanaman semusim dan tahunan klasifikasi terkait permohonan hak pvtt tanaman semusim dan tahunan. digunakan untuk dokumen mengenai permohonan hak pvtt tanaman semusim dan tahunan. permohonan hak pvtt tanaman semusim dan tahunan umum umum
500.6.26.7,permohonan hki yang ditolak,Klasifikasi terkait permohonan hki yang ditolak.,Digunakan untuk dokumen mengenai permohonan hki yang ditolak.,"permohonan, hki, yang, ditolak",umum,umum,kuartier,500.6.26.7 permohonan hki yang ditolak klasifikasi terkait permohonan hki yang ditolak. digunakan untuk dokumen mengenai permohonan hki yang ditolak. permohonan hki yang ditolak umum umum
500.6.27,pelayanan perijinan pertanian,Klasifikasi terkait pelayanan perijinan pertanian.,Digunakan untuk dokumen mengenai pelayanan perijinan pertanian.,"pelayanan, perijinan, pertanian",umum,umum,tersier,500.6.27 pelayanan perijinan pertanian klasifikasi terkait pelayanan perijinan pertanian. digunakan untuk dokumen mengenai pelayanan perijinan pertanian. pelayanan perijinan pertanian umum umum
500.6.27.1,sarana i bidang pupuk pestisida alat dan mesin pertanian,Klasifikasi terkait sarana i bidang pupuk pestisida alat dan mesin pertanian.,Digunakan untuk dokumen mengenai sarana i bidang pupuk pestisida alat dan mesin pertanian.,"sarana, bidang, pupuk, pestisida, alat, dan, mesin, pertanian",umum,umum,kuartier,500.6.27.1 sarana i bidang pupuk pestisida alat dan mesin pertanian klasifikasi terkait sarana i bidang pupuk pestisida alat dan mesin pertanian. digunakan untuk dokumen mengenai sarana i bidang pupuk pestisida alat dan mesin pertanian. sarana bidang pupuk pestisida alat dan mesin pertanian umum umum
500.6.27.2,sarana ii bidang benih tanaman bahan penelitian teknis pangan segar asal tumbuhan teknis pengalihan saham perkebunan,Klasifikasi terkait sarana ii bidang benih tanaman bahan penelitian teknis pangan segar asal tumbuhan teknis pengalihan saham perkebunan.,Digunakan untuk dokumen mengenai sarana ii bidang benih tanaman bahan penelitian teknis pangan segar asal tumbuhan teknis pengalihan saham perkebunan.,"sarana, bidang, benih, tanaman, bahan, penelitian, teknis, pangan, segar, asal",umum,umum,kuartier,500.6.27.2 sarana ii bidang benih tanaman bahan penelitian teknis pangan segar asal tumbuhan teknis pengalihan saham perkebunan klasifikasi terkait sarana ii bidang benih tanaman bahan penelitian teknis pangan segar asal tumbuhan teknis pengalihan saham perkebunan. digunakan untuk dokumen mengenai sarana ii bidang benih tanaman bahan penelitian teknis pangan segar asal tumbuhan teknis pengalihan saham perkebunan. sarana bidang benih tanaman bahan penelitian teknis pangan segar asal umum umum
500.6.27.3,sarana iii bidang bibit karkas daging dan jeroan pakan ternak obat hewan dan teknis sumber daya genetik ternak,Klasifikasi terkait sarana iii bidang bibit karkas daging dan jeroan pakan ternak obat hewan dan teknis sumber daya genetik ternak.,Digunakan untuk dokumen mengenai sarana iii bidang bibit karkas daging dan jeroan pakan ternak obat hewan dan teknis sumber daya genetik ternak.,"sarana, iii, bidang, bibit, karkas, daging, dan, jeroan, pakan, ternak",umum,umum,kuartier,500.6.27.3 sarana iii bidang bibit karkas daging dan jeroan pakan ternak obat hewan dan teknis sumber daya genetik ternak klasifikasi terkait sarana iii bidang bibit karkas daging dan jeroan pakan ternak obat hewan dan teknis sumber daya genetik ternak. digunakan untuk dokumen mengenai sarana iii bidang bibit karkas daging dan jeroan pakan ternak obat hewan dan teknis sumber daya genetik ternak. sarana iii bidang bibit karkas daging dan jeroan pakan ternak umum umum
500.6.28,pelayanan hukum,Klasifikasi terkait pelayanan hukum.,Digunakan untuk dokumen mengenai pelayanan hukum.,"pelayanan, hukum",umum,umum,tersier,500.6.28 pelayanan hukum klasifikasi terkait pelayanan hukum. digunakan untuk dokumen mengenai pelayanan hukum. pelayanan hukum umum umum
500.6.28.1,sertifikasi,Klasifikasi terkait sertifikasi.,Digunakan untuk dokumen mengenai sertifikasi.,sertifikasi,umum,umum,kuartier,500.6.28.1 sertifikasi klasifikasi terkait sertifikasi. digunakan untuk dokumen mengenai sertifikasi. sertifikasi umum umum
500.6.28.1,pertimbangan hukum,Klasifikasi terkait pertimbangan hukum.,Digunakan untuk dokumen mengenai pertimbangan hukum.,"pertimbangan, hukum",umum,umum,kuartier,500.6.28.1 pertimbangan hukum klasifikasi terkait pertimbangan hukum. digunakan untuk dokumen mengenai pertimbangan hukum. pertimbangan hukum umum umum
500.6.29,karantina pertanian,Klasifikasi terkait karantina pertanian.,Digunakan untuk dokumen mengenai karantina pertanian.,"karantina, pertanian",umum,umum,tersier,500.6.29 karantina pertanian klasifikasi terkait karantina pertanian. digunakan untuk dokumen mengenai karantina pertanian. karantina pertanian umum umum
500.6.29.1,karantina tumbuhan,Klasifikasi terkait karantina tumbuhan.,Digunakan untuk dokumen mengenai karantina tumbuhan.,"karantina, tumbuhan",umum,umum,kuartier,500.6.29.1 karantina tumbuhan klasifikasi terkait karantina tumbuhan. digunakan untuk dokumen mengenai karantina tumbuhan. karantina tumbuhan umum umum
500.6.29.2,karantina hewan,Klasifikasi terkait karantina hewan.,Digunakan untuk dokumen mengenai karantina hewan.,"karantina, hewan",umum,umum,kuartier,500.6.29.2 karantina hewan klasifikasi terkait karantina hewan. digunakan untuk dokumen mengenai karantina hewan. karantina hewan umum umum
500.6.30,bimbingan teknis,Klasifikasi terkait bimbingan teknis.,Digunakan untuk dokumen mengenai bimbingan teknis.,"bimbingan, teknis",umum,umum,tersier,500.6.30 bimbingan teknis klasifikasi terkait bimbingan teknis. digunakan untuk dokumen mengenai bimbingan teknis. bimbingan teknis umum umum
500.6.31,evaluasi,Klasifikasi terkait evaluasi.,Digunakan untuk dokumen mengenai evaluasi.,evaluasi,umum,umum,tersier,500.6.31 evaluasi klasifikasi terkait evaluasi. digunakan untuk dokumen mengenai evaluasi. evaluasi umum umum
500.7,peternakan,urusan pemerintahan yang berkaitan dengan pembinaan pengembangan produksi kesehatan hewan dan peningkatan usaha peternakan untuk mendukung kesejahteraan masyarakat,digunakan pada dokumen tentang sapi kambing ayam pakan ternak vaksinasi hewan kesehatan hewan inseminasi buatan bantuan ternak pengembangan usaha ternak serta pengawasan peternakan,"peternakan, urusan, pemerintahan, yang, berkaitan, dengan, pembinaan, pengembangan, produksi, kesehatan",umum,umum,sekunder,500.7 peternakan urusan pemerintahan yang berkaitan dengan pembinaan pengembangan produksi kesehatan hewan dan peningkatan usaha peternakan untuk mendukung kesejahteraan masyarakat digunakan pada dokumen tentang sapi kambing ayam pakan ternak vaksinasi hewan kesehatan hewan inseminasi buatan bantuan ternak pengembangan usaha ternak serta pengawasan peternakan peternakan urusan pemerintahan yang berkaitan dengan pembinaan pengembangan produksi kesehatan umum umum
500.7.1,kebijakan di bidang peternakan yang dilakukan oleh pemerintah daerah,Klasifikasi terkait kebijakan di bidang peternakan yang dilakukan oleh pemerintah daerah.,Digunakan untuk dokumen mengenai kebijakan di bidang peternakan yang dilakukan oleh pemerintah daerah.,"kebijakan, bidang, peternakan, yang, dilakukan, oleh, pemerintah, daerah",umum,umum,tersier,500.7.1 kebijakan di bidang peternakan yang dilakukan oleh pemerintah daerah klasifikasi terkait kebijakan di bidang peternakan yang dilakukan oleh pemerintah daerah. digunakan untuk dokumen mengenai kebijakan di bidang peternakan yang dilakukan oleh pemerintah daerah. kebijakan bidang peternakan yang dilakukan oleh pemerintah daerah umum umum
500.7.2,peternakan dan kesehatan hewan,Klasifikasi terkait peternakan dan kesehatan hewan.,Digunakan untuk dokumen mengenai peternakan dan kesehatan hewan.,"peternakan, dan, kesehatan, hewan",umum,umum,tersier,500.7.2 peternakan dan kesehatan hewan klasifikasi terkait peternakan dan kesehatan hewan. digunakan untuk dokumen mengenai peternakan dan kesehatan hewan. peternakan dan kesehatan hewan umum umum
500.7.2.1,perbibitan ternak antara lain produksi bibit ternak ruminansia produksi bibit ternak non ruminansia penilaian dan pelepasan bibit ternak pengembangan bibit ternak surat rekomendasi persetujuan pemasukan pengeluaran,Klasifikasi terkait perbibitan ternak antara lain produksi bibit ternak ruminansia produksi bibit ternak non ruminansia penilaian dan pelepasan bibit ternak pengembangan bibit ternak surat rekomendasi persetujuan pemasukan pengeluaran.,Digunakan untuk dokumen mengenai perbibitan ternak antara lain produksi bibit ternak ruminansia produksi bibit ternak non ruminansia penilaian dan pelepasan bibit ternak pengembangan bibit ternak surat rekomendasi persetujuan pemasukan pengeluaran.,"perbibitan, ternak, antara, lain, produksi, bibit, ruminansia, non, penilaian, dan",umum,umum,kuartier,500.7.2.1 perbibitan ternak antara lain produksi bibit ternak ruminansia produksi bibit ternak non ruminansia penilaian dan pelepasan bibit ternak pengembangan bibit ternak surat rekomendasi persetujuan pemasukan pengeluaran klasifikasi terkait perbibitan ternak antara lain produksi bibit ternak ruminansia produksi bibit ternak non ruminansia penilaian dan pelepasan bibit ternak pengembangan bibit ternak surat rekomendasi persetujuan pemasukan pengeluaran. digunakan untuk dokumen mengenai perbibitan ternak antara lain produksi bibit ternak ruminansia produksi bibit ternak non ruminansia penilaian dan pelepasan bibit ternak pengembangan bibit ternak surat rekomendasi persetujuan pemasukan pengeluaran. perbibitan ternak antara lain produksi bibit ruminansia non penilaian dan umum umum
500.7.2.2,pakan ternak,Klasifikasi terkait pakan ternak.,Digunakan untuk dokumen mengenai pakan ternak.,"pakan, ternak",umum,umum,kuartier,500.7.2.2 pakan ternak klasifikasi terkait pakan ternak. digunakan untuk dokumen mengenai pakan ternak. pakan ternak umum umum
500.7.2.3,budidaya ternak,Klasifikasi terkait budidaya ternak.,Digunakan untuk dokumen mengenai budidaya ternak.,"budidaya, ternak",umum,umum,kuartier,500.7.2.3 budidaya ternak klasifikasi terkait budidaya ternak. digunakan untuk dokumen mengenai budidaya ternak. budidaya ternak umum umum
500.7.2.4,kesehatan hewan antara lain pengamatan penyakit hewan pencegahan dan pemberantasan penyakit hewan perlindungan hewan kelembagaan dan sumber daya kesehatan hewan pengawasan obat hewan,Klasifikasi terkait kesehatan hewan antara lain pengamatan penyakit hewan pencegahan dan pemberantasan penyakit hewan perlindungan hewan kelembagaan dan sumber daya kesehatan hewan pengawasan obat hewan.,Digunakan untuk dokumen mengenai kesehatan hewan antara lain pengamatan penyakit hewan pencegahan dan pemberantasan penyakit hewan perlindungan hewan kelembagaan dan sumber daya kesehatan hewan pengawasan obat hewan.,"kesehatan, hewan, antara, lain, pengamatan, penyakit, pencegahan, dan, pemberantasan, perlindungan",umum,umum,kuartier,500.7.2.4 kesehatan hewan antara lain pengamatan penyakit hewan pencegahan dan pemberantasan penyakit hewan perlindungan hewan kelembagaan dan sumber daya kesehatan hewan pengawasan obat hewan klasifikasi terkait kesehatan hewan antara lain pengamatan penyakit hewan pencegahan dan pemberantasan penyakit hewan perlindungan hewan kelembagaan dan sumber daya kesehatan hewan pengawasan obat hewan. digunakan untuk dokumen mengenai kesehatan hewan antara lain pengamatan penyakit hewan pencegahan dan pemberantasan penyakit hewan perlindungan hewan kelembagaan dan sumber daya kesehatan hewan pengawasan obat hewan. kesehatan hewan antara lain pengamatan penyakit pencegahan dan pemberantasan perlindungan umum umum
500.7.2.5,kesehatan masyarakat veteriner dan pascapanen antara lain pascapanen higien sanitasi pengawasan sanitary dan keamanan produk hewan zoonosis dan kesejahteraan hewan pengujian dan sertifikasi produk hewan surat rekomendasi  persetujuan pemasukan pengeluaran,Klasifikasi terkait kesehatan masyarakat veteriner dan pascapanen antara lain pascapanen higien sanitasi pengawasan sanitary dan keamanan produk hewan zoonosis dan kesejahteraan hewan pengujian dan sertifikasi produk hewan surat rekomendasi  persetujuan pemasukan pengeluaran.,Digunakan untuk dokumen mengenai kesehatan masyarakat veteriner dan pascapanen antara lain pascapanen higien sanitasi pengawasan sanitary dan keamanan produk hewan zoonosis dan kesejahteraan hewan pengujian dan sertifikasi produk hewan surat rekomendasi  persetujuan pemasukan pengeluaran.,"kesehatan, masyarakat, veteriner, dan, pascapanen, antara, lain, higien, sanitasi, pengawasan",umum,umum,kuartier,500.7.2.5 kesehatan masyarakat veteriner dan pascapanen antara lain pascapanen higien sanitasi pengawasan sanitary dan keamanan produk hewan zoonosis dan kesejahteraan hewan pengujian dan sertifikasi produk hewan surat rekomendasi persetujuan pemasukan pengeluaran klasifikasi terkait kesehatan masyarakat veteriner dan pascapanen antara lain pascapanen higien sanitasi pengawasan sanitary dan keamanan produk hewan zoonosis dan kesejahteraan hewan pengujian dan sertifikasi produk hewan surat rekomendasi persetujuan pemasukan pengeluaran. digunakan untuk dokumen mengenai kesehatan masyarakat veteriner dan pascapanen antara lain pascapanen higien sanitasi pengawasan sanitary dan keamanan produk hewan zoonosis dan kesejahteraan hewan pengujian dan sertifikasi produk hewan surat rekomendasi persetujuan pemasukan pengeluaran. kesehatan masyarakat veteriner dan pascapanen antara lain higien sanitasi pengawasan umum umum
500.7.3,bimbingan teknis,Klasifikasi terkait bimbingan teknis.,Digunakan untuk dokumen mengenai bimbingan teknis.,"bimbingan, teknis",umum,umum,tersier,500.7.3 bimbingan teknis klasifikasi terkait bimbingan teknis. digunakan untuk dokumen mengenai bimbingan teknis. bimbingan teknis umum umum
500.7.4,evaluasi,Klasifikasi terkait evaluasi.,Digunakan untuk dokumen mengenai evaluasi.,evaluasi,umum,umum,tersier,500.7.4 evaluasi klasifikasi terkait evaluasi. digunakan untuk dokumen mengenai evaluasi. evaluasi umum umum
500.8,perkebunan,urusan pemerintahan yang berkaitan dengan pembinaan pengembangan produksi pengolahan dan peningkatan usaha komoditas perkebunan serta kesejahteraan pekebun,digunakan pada dokumen tentang kelapa sawit kelapa kakao kopi cengkeh bibit tanaman perkebunan penyuluhan pekebun pengolahan hasil kebun kemitraan usaha serta perlindungan komoditas perkebunan,"perkebunan, urusan, pemerintahan, yang, berkaitan, dengan, pembinaan, pengembangan, produksi, pengolahan",umum,umum,sekunder,500.8 perkebunan urusan pemerintahan yang berkaitan dengan pembinaan pengembangan produksi pengolahan dan peningkatan usaha komoditas perkebunan serta kesejahteraan pekebun digunakan pada dokumen tentang kelapa sawit kelapa kakao kopi cengkeh bibit tanaman perkebunan penyuluhan pekebun pengolahan hasil kebun kemitraan usaha serta perlindungan komoditas perkebunan perkebunan urusan pemerintahan yang berkaitan dengan pembinaan pengembangan produksi pengolahan umum umum
500.8.1,kebijakan di bidang perkebunan yang dilakukan oleh pemerintah daerah,Klasifikasi terkait kebijakan di bidang perkebunan yang dilakukan oleh pemerintah daerah.,Digunakan untuk dokumen mengenai kebijakan di bidang perkebunan yang dilakukan oleh pemerintah daerah.,"kebijakan, bidang, perkebunan, yang, dilakukan, oleh, pemerintah, daerah",umum,umum,tersier,500.8.1 kebijakan di bidang perkebunan yang dilakukan oleh pemerintah daerah klasifikasi terkait kebijakan di bidang perkebunan yang dilakukan oleh pemerintah daerah. digunakan untuk dokumen mengenai kebijakan di bidang perkebunan yang dilakukan oleh pemerintah daerah. kebijakan bidang perkebunan yang dilakukan oleh pemerintah daerah umum umum
500.8.2,tanaman semusim,Klasifikasi terkait tanaman semusim.,Digunakan untuk dokumen mengenai tanaman semusim.,"tanaman, semusim",umum,umum,tersier,500.8.2 tanaman semusim klasifikasi terkait tanaman semusim. digunakan untuk dokumen mengenai tanaman semusim. tanaman semusim umum umum
500.8.2.1,identifikasi dan pendayagunaan sumber daya tanaman semusim,Klasifikasi terkait identifikasi dan pendayagunaan sumber daya tanaman semusim.,Digunakan untuk dokumen mengenai identifikasi dan pendayagunaan sumber daya tanaman semusim.,"identifikasi, dan, pendayagunaan, sumber, daya, tanaman, semusim",umum,umum,kuartier,500.8.2.1 identifikasi dan pendayagunaan sumber daya tanaman semusim klasifikasi terkait identifikasi dan pendayagunaan sumber daya tanaman semusim. digunakan untuk dokumen mengenai identifikasi dan pendayagunaan sumber daya tanaman semusim. identifikasi dan pendayagunaan sumber daya tanaman semusim umum umum
